time,Ia,Ib,Ic,Vab,Vbc,Vca,Torque,Speed,Category
0.0275,-663.5203485,155.9585095,507.561839,586.7186298,586.6782758,581.0165033,710.9013232,112.2778205,NOM
0.028,-701.2771357,288.7368098,412.5403259,586.7023058,586.6800533,581.0116335,875.4031504,121.7228996,NOM
0.0285,-737.0171352,415.1777231,321.839412,586.6862192,586.6816561,581.0036114,1040.471591,133.1430619,NOM
0.029,-699.1953813,499.2510698,199.9443115,586.6710123,581.798505,586.7653063,1110.619344,146.5408057,NOM
0.0295,-591.0617012,541.8263263,49.23537487,586.6571536,581.7994128,586.7514826,1093.389671,160.7788651,NOM
0.03,-487.3443499,581.7395638,-94.39521392,586.6450203,581.7996484,586.7350328,1089.999316,174.2443281,NOM
0.0305,-387.9398204,619.1648429,-231.2250225,586.6348371,581.7987847,586.7177355,1100.343668,187.1474464,NOM
0.031,-292.7475843,654.2750746,-361.5274903,586.6269073,581.7968753,586.7002478,1124.115613,200.2562966,NOM
0.0315,-201.6536727,687.2114613,-485.5577886,596.817271,570.6714132,586.6832938,1160.788162,213.7305258,NOM
0.032,-79.45785341,646.5187346,-567.0608812,596.8124524,570.6698044,586.6674423,1086.474612,227.7222701,NOM
0.0325,70.90900407,535.5413648,-606.4503688,596.8098165,570.670256,586.6530496,908.621144,240.9035691,NOM
0.033,214.3616647,429.0593359,-643.4210006,596.8101167,570.6703669,586.6408481,755.1548877,251.2991318,NOM
0.0335,351.1276863,327.0673239,-678.1950102,596.8129659,570.670418,586.6307187,625.240527,259.2445945,NOM
0.034,481.4529023,229.5458359,-710.9987382,596.817906,570.6701881,586.6232479,517.755404,265.7846901,NOM
0.0345,568.9329418,101.513795,-670.4467368,602.1750599,570.6698033,581.7331636,360.9218687,271.1821963,NOM
0.035,613.7540228,-53.80153086,-559.952492,602.1818456,570.6692945,581.7309574,154.5888058,274.8413763,NOM
0.0355,656.2023977,-201.9303854,-454.2720123,602.1879592,570.6687549,581.7307721,-33.07772379,275.7430258,NOM
0.036,696.4665753,-343.1232987,-353.3432766,602.1940586,570.6681365,581.731922,-203.0169711,274.1091417,NOM
0.0365,734.7357857,-477.6426853,-257.0931005,602.199789,570.6676329,581.7341333,-356.3386484,270.5582472,NOM
0.037,771.1919351,-605.7644486,-165.4274865,602.2050032,581.7353892,570.6141341,-494.279706,265.2831437,NOM
0.0375,734.4207128,-691.0992355,-43.32147729,602.2095516,581.7339124,570.6193828,-600.52916,258.4608393,NOM
0.038,627.8064394,-733.9235486,106.1171091,602.2132203,581.7325467,570.6277447,-677.8609266,250.4622819,NOM
0.0385,526.052382,-774.5982504,248.5458684,602.2163129,581.7324101,570.636403,-749.5786631,241.7300296,NOM
0.039,429.0076194,-813.2970183,384.2893989,602.2186135,581.7333812,570.6451841,-815.8270544,232.3145545,NOM
0.0395,336.5049812,-850.1692756,513.6642944,602.2204369,581.7353058,570.653627,-876.8830567,222.1420711,NOM
0.04,213.3129498,-813.7610241,600.4480744,596.8987043,586.650589,570.6615321,-860.876989,211.2737155,NOM
0.0405,62.18228551,-707.4035683,645.2212827,596.8996996,586.6530463,570.6686733,-770.0810286,200.6277156,NOM
0.041,-82.1371308,-605.799451,687.9365818,596.9001622,586.6546939,570.674947,-680.3138858,191.5257435,NOM
0.0415,-219.9568182,-508.7945723,728.7513905,596.8996776,586.6564316,570.6801363,-591.488358,183.9419028,NOM
0.042,-351.5749837,-416.21769,767.7926737,596.8983718,586.6580762,570.684441,-503.7216729,177.4123847,NOM
0.0425,-477.277918,-327.8951723,805.1730903,586.6455929,586.6597282,581.7550213,-417.264734,171.9250421,NOM
0.043,-560.9752772,-208.4328519,769.4081291,586.6450048,586.6612549,581.7559995,-286.603963,167.4635193,NOM
0.0435,-603.4793443,-60.31613486,663.7954792,586.6468011,586.662563,581.7559126,-109.9233926,164.5539353,NOM
0.044,-644.1362822,81.09499447,563.0412877,586.6487412,586.6637758,581.755948,67.03008578,164.017208,NOM
0.0445,-683.0201636,216.0463857,466.9737779,586.6508324,586.6648194,581.7561088,243.4341453,165.8673611,NOM
0.045,-720.1890638,344.7695279,375.4195359,586.6529969,586.665772,581.7564028,418.3862364,169.8247284,NOM
0.0455,-684.1155057,431.1329811,252.9825246,586.6552249,580.9200317,586.669202,547.8109274,175.8670125,NOM
0.046,-578.0686291,475.8474259,102.2212032,586.657416,580.9208759,586.668905,637.0120834,183.4453303,NOM
0.0465,-476.7435546,518.1577216,-41.41416705,586.6595109,580.9214626,586.6675373,734.1810679,191.8164512,NOM
0.047,-379.9732526,558.1802193,-178.2069667,586.6613212,580.9212593,586.6662013,838.7471325,201.1071249,NOM
0.0475,-287.5971173,596.0251337,-308.4280164,586.6630022,580.9203629,586.6648757,950.0514857,211.6932538,NOM
0.048,-199.4643822,631.788836,-432.3244538,586.6641514,580.9189018,586.6637733,1067.321152,223.6518266,NOM
0.0485,-80.38228682,593.979979,-513.5976922,581.780959,586.6901014,586.662907,1078.722386,237.0500746,NOM
0.049,66.67483656,485.9167555,-552.5915921,581.7817719,586.6869388,586.6623007,993.2175688,250.6196325,NOM
0.0495,206.7538936,382.3422827,-589.0961763,581.7819967,586.6822908,586.6620225,928.5849595,262.5363056,NOM
0.05,340.1227297,283.2088834,-623.3316131,581.7812267,586.6775247,586.6619736,884.2220223,273.1027902,NOM
0.0505,467.0546492,188.4604479,-655.5150971,581.7795374,586.6728575,586.6622259,859.2298743,283.2640368,NOM
0.051,587.8172971,98.00939199,-685.8266891,570.6542685,586.6685504,596.8573279,852.452215,293.247678,NOM
0.0515,665.9153206,-23.06398371,-642.8513369,570.6532179,586.6646543,596.8565453,758.0282702,303.2657604,NOM
0.052,701.3292856,-171.3390229,-529.9902627,570.6542424,586.661173,596.8557872,581.4905057,312.2651782,NOM
0.0525,734.5921432,-312.6082431,-421.9839001,570.6552593,586.6582611,596.8559179,428.9907647,318.6339849,NOM
0.053,765.9202496,-447.1193316,-318.800918,570.6560755,586.6561316,596.8567209,299.3280605,322.6922191,NOM
0.0535,795.5321854,-575.1380108,-220.3941746,570.6567751,586.6545231,596.8579669,191.0499311,325.3461102,NOM
0.054,752.050471,-660.0877058,-91.96276519,570.6572994,581.7692199,602.2098055,63.10964472,326.8437839,NOM
0.0545,638.9155281,-701.8418204,62.92629231,570.6576939,581.7691522,602.2103276,-86.39427572,326.9418909,NOM
0.055,530.8305516,-741.3262279,210.4956763,570.6580368,581.7692624,602.2094001,-222.3187242,325.1380897,NOM
0.0555,427.6951261,-778.7414838,351.0463577,570.6583122,581.7689891,602.2079821,-345.2653885,321.5831798,NOM
0.056,329.3965884,-814.2789348,484.8823464,570.6585671,581.7682408,602.2061339,-456.0419132,316.6418719,NOM
0.0565,235.8116508,-848.1199395,612.3082887,581.7267947,570.6442418,602.2039624,-555.6184029,310.455881,NOM
0.057,112.0417691,-808.8538843,696.8121151,581.7256973,570.6444829,602.2015016,-613.0461095,303.1541067,NOM
0.0575,-38.53863763,-699.8817502,738.4203878,581.7245341,570.6468154,602.1988162,-630.9565589,295.2339014,NOM
0.058,-182.0887477,-595.8765002,777.9652479,581.7244283,570.6490945,602.1961625,-646.3927691,287.3516948,NOM
0.0585,-318.9483283,-496.6855477,815.633876,581.7252642,570.6510608,602.1938237,-659.3658103,279.5213071,NOM
0.059,-449.4463159,-402.139305,851.5856209,581.726901,570.6527215,602.1917928,-670.0971745,271.5510457,NOM
0.0595,-537.2107934,-277.1697003,814.3804936,586.6418031,570.6540253,596.8672678,-621.9945355,263.4676063,NOM
0.06,-582.5146128,-124.8641723,707.3787851,586.6436946,570.6550103,596.8668129,-516.1777424,255.9719517,NOM
0.0605,-625.7929147,20.5302667,605.262648,586.6446685,570.6557679,596.8668636,-411.2580509,250.0907381,NOM
0.061,-667.199978,159.3227814,507.8771966,586.6455925,570.6563324,596.8669347,-307.4484145,245.8065198,NOM
0.0615,-706.8637071,291.8094892,415.0542179,586.6464952,570.6566939,596.8670586,-205.1723408,242.7561786,NOM
0.062,-744.9033074,418.275702,326.6276054,586.6473477,581.7249375,586.6161478,-105.0055681,240.9201045,NOM
0.0625,-709.8478987,502.4065282,207.4413705,586.6480904,581.7238119,586.61837,8.841863876,240.2705638,NOM
0.063,-605.0280546,544.571385,60.45666959,586.6486351,581.7225991,586.623311,140.0712525,240.9673888,NOM
0.0635,-505.1282703,584.8052272,-79.67695692,586.6490269,581.7224806,586.6289011,274.7191822,243.3122645,NOM
0.064,-409.9799621,623.2168264,-213.2368643,586.6493397,581.7234194,586.6347927,411.8602369,247.3680398,NOM
0.0645,-319.4149374,659.9014002,-340.4864628,586.6495233,581.7253586,586.6408298,550.4546803,253.0810854,NOM
0.065,-198.3207614,623.3707392,-425.0499778,580.9033634,586.6409265,586.646815,632.114534,260.4631805,NOM
0.0655,-49.80107411,516.9515162,-467.1504421,580.9039088,586.6437405,586.6525935,663.5314888,268.8284681,NOM
0.066,91.57075356,415.3348651,-506.9056186,580.9043758,586.6460374,586.6579969,708.1045611,277.2287132,NOM
0.0665,226.0977791,318.3891675,-544.4869465,580.9042402,586.648668,586.66286,765.0514051,285.8609018,NOM
0.067,354.0739274,225.9828857,-580.0568131,580.9036042,586.6516749,586.6669348,833.3937792,295.2511267,NOM
0.0675,475.7722539,137.9840044,-613.7562583,580.9025907,586.6549506,586.6702585,911.9594329,305.5307192,NOM
0.068,554.656212,19.48468441,-574.1408964,586.6743179,586.6584175,581.7882479,901.0008087,316.8158407,NOM
0.0685,590.6182328,-126.023052,-464.5951808,586.6719186,586.6619524,581.7897618,808.5966625,328.0308484,NOM
0.069,624.307249,-264.474386,-359.832863,586.6682692,586.6653961,581.7900865,738.4910618,337.6082338,NOM
0.0695,655.9529456,-396.1519394,-259.8010062,586.6645511,586.6685574,581.7888321,689.6616836,345.8624423,NOM
0.07,685.7799861,-521.3455298,-164.4344562,586.6609546,586.6713371,581.7861125,660.7837644,353.6666743,NOM
0.0705,642.4102378,-603.3923181,-39.01791969,586.6576719,580.9272189,586.6942137,568.0509976,361.2529894,NOM
0.071,529.2972736,-641.9563387,112.6590651,586.6548663,580.9291711,586.6880167,414.074117,367.8512639,NOM
0.0715,421.1440777,-678.214399,257.0703212,586.6526232,580.9302481,586.679773,281.057183,372.2302919,NOM
0.072,317.8989567,-712.3975869,394.4986302,586.6509796,580.929776,586.6706532,168.0517948,374.655917,NOM
0.0725,219.496045,-744.7348158,525.2387708,586.6497422,580.9277342,586.6611605,73.81979786,375.8576992,NOM
0.073,125.8428003,-775.4379547,649.5951543,586.6491008,580.9241593,586.6515826,-3.10368068,376.0540987,NOM
0.0735,2.285881458,-733.1336011,730.8477197,581.764127,586.6915997,586.6423123,-89.67586193,375.4443486,NOM
0.074,-147.3083719,-621.2878262,768.5961981,581.7643321,586.6842142,586.6336791,-186.7381192,373.9045523,NOM
0.0745,-289.7377171,-514.5583628,804.2960799,581.7644819,586.6745296,586.6259901,-273.2656901,371.1486273,NOM
0.075,-425.3283324,-412.8283253,838.1566578,581.7640273,586.6639148,586.6193664,-349.8312217,367.2973355,NOM
0.0755,-554.4044605,-315.9666085,870.3710691,581.7628995,586.6527273,586.6141212,-417.2467846,362.5951061,NOM
0.076,-640.3051694,-189.2430269,829.5481963,586.6732837,586.6414577,580.8635434,-448.3792647,357.1477629,NOM
0.0765,-682.7510546,-36.37643512,719.1274897,586.6697658,586.6305675,580.8617401,-445.6390168,351.3835734,NOM
0.077,-723.0980081,109.3427653,613.7552428,586.664384,586.6205437,580.8613147,-440.967398,345.8688097,NOM
0.0775,-761.5486573,248.2609313,513.2877261,586.6582388,586.6117355,580.8616014,-434.4196644,340.6121273,NOM
0.078,-798.2785646,380.7137532,417.5648114,586.6517122,586.6041725,580.8625092,-426.3210614,335.4452701,NOM
0.0785,-833.4474309,507.0222967,326.4251342,586.6449242,586.5984092,580.8639309,-417.2127272,330.3864178,NOM
0.079,-795.6272844,590.618515,205.0087694,586.6381953,581.7094822,586.6388516,-368.4472827,325.4456814,NOM
0.0795,-688.2111922,631.3966844,56.81450776,586.6317809,581.7076923,586.6399836,-278.8786992,321.0931996,NOM
0.08,-585.8460402,670.3594708,-84.51343062,586.6259538,581.707559,586.6400279,-188.1483577,318.0466673,NOM
0.0805,-488.374003,707.6657549,-219.2917519,586.6208033,581.708591,586.6400125,-96.85412434,316.3267497,NOM
0.081,-395.6271428,743.451356,-347.8242132,586.6166211,581.7107127,586.6398908,-5.808076542,315.7035396,NOM
0.0815,-307.4423348,777.8449799,-470.4026451,596.8088257,570.5905773,586.6397398,84.01075049,316.1704761,NOM
0.082,-188.9179165,739.3936059,-550.4756894,596.8055695,570.5963569,586.6395388,173.4678389,317.7080368,NOM
0.0825,-43.51710869,631.4710716,-587.9539629,596.803577,570.6056318,586.6391385,267.9069546,320.3060315,NOM
0.083,94.90576808,528.7282839,-623.6340519,596.8038377,570.6157027,586.6389525,369.2056746,324.0290655,NOM
0.0835,226.655056,431.0052068,-657.6602628,596.8062278,570.6264969,586.6385935,476.2255703,328.9908819,NOM
0.084,352.0214728,338.140924,-690.1623968,596.8105689,570.6374155,586.6385026,587.6433457,335.2709435,NOM
0.0845,434.3885225,215.3028218,-649.6913443,602.1673562,570.6481923,581.75398,642.9511214,342.9149139,NOM
0.085,473.5093712,66.12853701,-539.6379082,602.1740523,570.6584647,581.7542363,649.0889306,351.2450932,NOM
0.0855,510.3549993,-75.68902142,-434.6659779,602.1806502,570.6679317,581.7543861,671.7141488,359.3134089,NOM
0.086,545.1346072,-210.4718967,-334.6627106,602.18792,570.676169,581.7540285,709.8542793,367.3581017,NOM
0.0865,578.0457612,-338.5353032,-239.510458,602.1955545,570.6830744,581.7532392,762.2520128,375.9562444,NOM
0.087,609.2618692,-460.1758462,-149.086023,602.2033736,581.756098,570.6294218,827.3840648,385.272202,NOM
0.0875,567.3783196,-538.6244251,-28.75389452,602.2110854,581.7588072,570.6299973,812.5078976,395.4504478,NOM
0.088,455.8479162,-573.3306745,117.4827583,602.2182204,581.759699,570.6332293,724.9170101,405.5268368,NOM
0.0885,349.3427611,-605.7709135,256.4281525,602.2249181,581.759882,570.6366451,660.5849251,414.0798854,NOM
0.089,247.8135059,-636.1997815,388.3862756,602.2307241,581.7592859,570.6403516,618.379524,421.4308099,NOM
0.0895,151.1958852,-664.8645485,513.6686633,602.2356971,581.7578679,570.6441133,596.80543,428.4165801,NOM
0.09,25.02804484,-620.4218874,595.3938426,596.9163701,586.6675108,570.6478969,517.6682932,435.2767129,NOM
0.0905,-126.4173612,-506.3922199,632.8095811,596.918955,586.6635046,570.6515903,383.0613978,441.3151672,NOM
0.091,-270.4300748,-397.4323324,667.8624072,596.919923,586.6575722,570.6551444,269.0547234,445.4031526,NOM
0.0915,-407.3142537,-293.4967784,700.8110321,596.9186845,586.650873,570.658281,174.8095181,447.7991223,NOM
0.092,-537.3850144,-194.5238378,731.9088522,596.9152508,586.6435372,570.6611646,99.11916311,449.1930325,NOM
0.0925,-660.9647312,-100.4256358,761.390367,586.6602059,586.6359983,581.7314359,40.47930991,449.8013831,NOM
0.093,-741.1139821,23.19873349,717.9152486,586.6548236,586.6284133,581.7319435,-30.7005467,449.8205103,NOM
0.0935,-777.0098377,171.9938628,605.0159749,586.6504058,586.6209393,581.7316859,-115.0739218,449.0917634,NOM
0.094,-810.8527777,313.5490933,497.3036844,586.6449263,586.6141838,581.7317138,-188.9839109,447.2810688,NOM
0.0945,-842.8781476,448.2015422,394.6766054,586.6386214,586.6083538,581.7318528,-252.9601961,444.5094555,NOM
0.095,-873.3039883,576.2871686,297.0168197,586.6317022,586.6037459,581.7319315,-307.8490551,441.0367208,NOM
0.0955,-830.7748475,660.9054322,169.8694153,586.6244944,580.8533669,586.6438746,-336.0716943,436.9681941,NOM
0.096,-718.800532,701.3170007,17.48353133,586.6173016,580.8517555,586.6424977,-339.670914,432.6171418,NOM
0.0965,-611.9794861,739.6618913,-127.6824052,586.6105258,580.8514034,586.6395118,-340.9151481,428.3824064,NOM
